YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,DataValueUnit,DataValueType,DataValue,StratificationCategory1,Stratification1
2013,2017,CA,California,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,41.6,Overall,Overall
2013,2017,CA,California,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,25.4,Gender,Female
2008,2012,CA,California,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,43.7,Gender,Male
2012,2016,CA,California,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,38.7,Gender,Female
2011,2015,CA,California,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,50.9,Race/Ethnicity,"White, non-Hispanic"
2014,2018,CA,California,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,16.0,Race/Ethnicity,American Indian or Alaska Native
2009,2013,CA,California,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,47.6,Race/Ethnicity,"Black, non-Hispanic"
2012,2016,CA,California,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,25.1,Race/Ethnicity,Hispanic
2010,2014,CA,California,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,45.1,Overall,Overall
2009,2013,CA,California,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,54.4,Race/Ethnicity,"White, non-Hispanic"
2010,2014,CA,California,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,35.6,Race/Ethnicity,Asian or Pacific Islander
2011,2015,CA,California,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,39.4,Gender,Female
2012,2016,CA,California,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,49.7,Race/Ethnicity,"White, non-Hispanic"
2013,2017,CA,California,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,34.6,Race/Ethnicity,Asian or Pacific Islander
2015,2019,CA,California,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,23.7,Race/Ethnicity,Hispanic
2011,2015,CA,California,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,57.3,Race/Ethnicity,"Black, non-Hispanic"
2010,2014,CA,California,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,28.6,Gender,Female
2010,2014,CA,California,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,39.6,Race/Ethnicity,"White, non-Hispanic"
2012,2016,CA,California,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,30.9,Overall,Overall
2010,2014,CA,California,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,45.7,Race/Ethnicity,"Black, non-Hispanic"
2010,2014,CA,California,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,18.2,Race/Ethnicity,American Indian or Alaska Native
2013,2017,CA,California,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,29.6,Overall,Overall
2011,2015,CA,California,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,38.5,Gender,Male
2015,2019,CA,California,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,35.8,Gender,Female
2009,2013,CA,California,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,42.0,Gender,Male
2008,2012,CA,California,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,36.7,Race/Ethnicity,Asian or Pacific Islander
2009,2013,CA,California,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,54.0,Gender,Male
2011,2015,CA,California,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,35.5,Race/Ethnicity,Asian or Pacific Islander
2014,2018,CA,California,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,40.3,Overall,Overall
2011,2015,CA,California,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,17.1,Race/Ethnicity,Hispanic
2013,2017,CA,California,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,48.2,Race/Ethnicity,"White, non-Hispanic"
2011,2015,CA,California,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,25.3,Race/Ethnicity,Hispanic
2015,2019,CA,California,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,33.5,Race/Ethnicity,Asian or Pacific Islander
2014,2018,CA,California,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,52.6,Race/Ethnicity,"Black, non-Hispanic"
2013,2017,CA,California,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,24.9,Race/Ethnicity,Hispanic
2012,2016,CA,California,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,23.3,Race/Ethnicity,American Indian or Alaska Native
2008,2012,CA,California,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,20.9,Race/Ethnicity,American Indian or Alaska Native
2014,2018,CA,California,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,46.7,Race/Ethnicity,"White, non-Hispanic"
2013,2017,CO,Colorado,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,28.9,Race/Ethnicity,"White, non-Hispanic"
2014,2018,CO,Colorado,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,20.5,Race/Ethnicity,American Indian or Alaska Native
2012,2016,CO,Colorado,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,37.1,Race/Ethnicity,Hispanic
2014,2018,CO,Colorado,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,40.5,Overall,Overall
2011,2015,CO,Colorado,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,1.6,Race/Ethnicity,"Black, non-Hispanic"
2014,2018,CO,Colorado,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,0.9,Race/Ethnicity,Asian or Pacific Islander
2009,2013,CO,Colorado,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,0.2,Race/Ethnicity,American Indian or Alaska Native
2008,2012,CO,Colorado,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,43.7,Gender,Female
2008,2012,CO,Colorado,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,0.2,Race/Ethnicity,American Indian or Alaska Native
2015,2019,CO,Colorado,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,1.4,Race/Ethnicity,"Black, non-Hispanic"
2010,2014,CO,Colorado,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,42.0,Gender,Female
2008,2012,CO,Colorado,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,47.6,Overall,Overall
2010,2014,CO,Colorado,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,42.6,Race/Ethnicity,"White, non-Hispanic"
2011,2015,CO,Colorado,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,41.6,Race/Ethnicity,"White, non-Hispanic"
2009,2013,CO,Colorado,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,50.4,Gender,Male
2010,2014,CO,Colorado,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,1.7,Race/Ethnicity,"Black, non-Hispanic"
2015,2019,CO,Colorado,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,38.1,Gender,Female
2011,2015,CO,Colorado,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,41.1,Gender,Female
2010,2014,CO,Colorado,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,48.6,Gender,Male
2013,2017,CO,Colorado,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,19.6,Race/Ethnicity,Asian or Pacific Islander
2013,2017,CO,Colorado,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,0.3,Race/Ethnicity,American Indian or Alaska Native
2008,2012,CO,Colorado,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,34.5,Overall,Overall
2014,2018,CO,Colorado,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,31.1,Race/Ethnicity,"Black, non-Hispanic"
2012,2016,CO,Colorado,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,19.7,Race/Ethnicity,Asian or Pacific Islander
2011,2015,CO,Colorado,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,20.7,Race/Ethnicity,Asian or Pacific Islander
2015,2019,CO,Colorado,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,28.2,Gender,Male
2012,2016,CO,Colorado,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,29.3,Overall,Overall
2010,2014,CO,Colorado,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,22.9,Race/Ethnicity,American Indian or Alaska Native
2015,2019,CO,Colorado,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,21.5,Race/Ethnicity,Asian or Pacific Islander
2011,2015,CO,Colorado,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,47.3,Gender,Male
2009,2013,CO,Colorado,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,0.8,Race/Ethnicity,Asian or Pacific Islander
2008,2012,CO,Colorado,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,23.8,Race/Ethnicity,American Indian or Alaska Native
2014,2018,CO,Colorado,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,20.0,Race/Ethnicity,Asian or Pacific Islander
2011,2015,CO,Colorado,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,36.4,Race/Ethnicity,"Black, non-Hispanic"
2014,2018,CO,Colorado,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,27.3,Race/Ethnicity,"White, non-Hispanic"
2015,2019,CO,Colorado,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,25.3,Overall,Overall
2010,2014,CO,Colorado,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,0.3,Race/Ethnicity,American Indian or Alaska Native
2009,2013,CO,Colorado,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,21.4,Race/Ethnicity,American Indian or Alaska Native
2011,2015,CO,Colorado,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,31.3,Race/Ethnicity,"White, non-Hispanic"
2012,2016,CO,Colorado,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,30.3,Race/Ethnicity,"White, non-Hispanic"
2008,2012,CO,Colorado,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,26.4,Race/Ethnicity,Hispanic
2012,2016,CO,Colorado,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,40.6,Gender,Female
2013,2017,CO,Colorado,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,30.9,Gender,Male
2010,2014,CO,Colorado,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,0.8,Race/Ethnicity,Asian or Pacific Islander
2012,2016,CO,Colorado,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,45.8,Gender,Male
2008,2012,CO,Colorado,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,0.8,Race/Ethnicity,Asian or Pacific Islander
2009,2013,CO,Colorado,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,1.8,Race/Ethnicity,"Black, non-Hispanic"
2015,2019,CO,Colorado,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,37.4,Race/Ethnicity,"White, non-Hispanic"
2013,2017,CO,Colorado,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,1.5,Race/Ethnicity,"Black, non-Hispanic"
2010,2014,CO,Colorado,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,38.5,Race/Ethnicity,Hispanic
2008,2012,CO,Colorado,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,53.1,Gender,Male
2009,2013,CO,Colorado,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,46.0,Overall,Overall
2012,2016,CO,Colorado,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,42.8,Overall,Overall
2015,2019,CO,Colorado,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,0.9,Race/Ethnicity,Asian or Pacific Islander
2009,2013,CO,Colorado,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,42.9,Gender,Female
2015,2019,CO,Colorado,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,39.5,Overall,Overall
2013,2017,CO,Colorado,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,0.9,Race/Ethnicity,Asian or Pacific Islander
2013,2017,CO,Colorado,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,36.2,Race/Ethnicity,Hispanic
2012,2016,CO,Colorado,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,40.7,Race/Ethnicity,"White, non-Hispanic"
2011,2015,CO,Colorado,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,43.7,Overall,Overall
2014,2018,CO,Colorado,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,1.4,Race/Ethnicity,"Black, non-Hispanic"
2008,2012,CO,Colorado,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,45.7,Race/Ethnicity,"White, non-Hispanic"
2011,2015,CO,Colorado,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,30.3,Overall,Overall
2008,2012,CO,Colorado,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,25.5,Race/Ethnicity,Asian or Pacific Islander
2012,2016,CO,Colorado,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,34.2,Race/Ethnicity,"Black, non-Hispanic"
2009,2013,CO,Colorado,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,38.8,Gender,Male
2011,2015,CO,Colorado,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,27.4,Gender,Female
2008,2012,CO,Colorado,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,43.7,Race/Ethnicity,"Black, non-Hispanic"
2009,2013,CO,Colorado,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,28.9,Gender,Female
2012,2016,CO,Colorado,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,22.2,Race/Ethnicity,Hispanic
2010,2014,CO,Colorado,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,36.5,Gender,Male
2012,2016,CO,Colorado,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,21.5,Race/Ethnicity,American Indian or Alaska Native
2015,2019,CO,Colorado,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,25.9,Race/Ethnicity,"White, non-Hispanic"
2013,2017,CO,Colorado,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,25.6,Gender,Female
2013,2017,CO,Colorado,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,20.8,Race/Ethnicity,Hispanic
2015,2019,CO,Colorado,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,29.8,Race/Ethnicity,"Black, non-Hispanic"
2010,2014,CO,Colorado,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,21.6,Race/Ethnicity,Asian or Pacific Islander
2015,2019,CO,Colorado,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,41.5,Gender,Male
2008,2012,CO,Colorado,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,29.7,Gender,Female
2010,2014,CO,Colorado,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,32.6,Race/Ethnicity,"White, non-Hispanic"
2010,2014,CO,Colorado,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,40.8,Race/Ethnicity,"Black, non-Hispanic"
2009,2013,CO,Colorado,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,24.1,Race/Ethnicity,Asian or Pacific Islander
2013,2017,CO,Colorado,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,44.4,Gender,Male
2015,2019,CO,Colorado,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,0.3,Race/Ethnicity,American Indian or Alaska Native
2011,2015,CO,Colorado,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,23.4,Race/Ethnicity,American Indian or Alaska Native
2013,2017,CO,Colorado,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,39.5,Race/Ethnicity,"White, non-Hispanic"
2009,2013,CO,Colorado,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,43.6,Race/Ethnicity,"Black, non-Hispanic"
2013,2017,CO,Colorado,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,27.9,Overall,Overall
2014,2018,CO,Colorado,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,43.1,Gender,Male
2015,2019,CO,Colorado,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,34.2,Race/Ethnicity,Hispanic
2010,2014,CO,Colorado,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,28.1,Gender,Female
2014,2018,CO,Colorado,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,26.5,Overall,Overall
2010,2014,CO,Colorado,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,24.3,Race/Ethnicity,Hispanic
2009,2013,CO,Colorado,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,43.8,Race/Ethnicity,"White, non-Hispanic"
2013,2017,CO,Colorado,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,18.0,Race/Ethnicity,American Indian or Alaska Native
2008,2012,CO,Colorado,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,35.4,Race/Ethnicity,"White, non-Hispanic"
2010,2014,CO,Colorado,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,31.8,Overall,Overall
2015,2019,CO,Colorado,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,18.0,Race/Ethnicity,American Indian or Alaska Native
2010,2014,CO,Colorado,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,44.8,Overall,Overall
2014,2018,CO,Colorado,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,19.7,Race/Ethnicity,Hispanic
2015,2019,CO,Colorado,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,23.1,Gender,Female
2014,2018,CO,Colorado,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,38.6,Gender,Female
2008,2012,CO,Colorado,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,40.8,Gender,Male
2014,2018,CO,Colorado,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,38.4,Race/Ethnicity,"White, non-Hispanic"
2013,2017,CO,Colorado,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,41.6,Overall,Overall
2013,2017,CO,Colorado,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,33.0,Race/Ethnicity,"Black, non-Hispanic"
2012,2016,CO,Colorado,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,0.3,Race/Ethnicity,American Indian or Alaska Native
2014,2018,CO,Colorado,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,0.3,Race/Ethnicity,American Indian or Alaska Native
2011,2015,CO,Colorado,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,34.1,Gender,Male
2012,2016,CO,Colorado,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,1.5,Race/Ethnicity,"Black, non-Hispanic"
2014,2018,CO,Colorado,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,34.7,Race/Ethnicity,Hispanic
2014,2018,CO,Colorado,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,29.2,Gender,Male
2009,2013,CO,Colorado,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,33.2,Overall,Overall
2012,2016,CO,Colorado,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,0.9,Race/Ethnicity,Asian or Pacific Islander
2009,2013,CO,Colorado,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,39.2,Race/Ethnicity,Hispanic
2008,2012,CO,Colorado,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,1.8,Race/Ethnicity,"Black, non-Hispanic"
2015,2019,CO,Colorado,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,20.0,Race/Ethnicity,Hispanic
2011,2015,CO,Colorado,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,37.1,Race/Ethnicity,Hispanic
2011,2015,CO,Colorado,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,0.3,Race/Ethnicity,American Indian or Alaska Native
2009,2013,CO,Colorado,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,34.0,Race/Ethnicity,"White, non-Hispanic"
2008,2012,CO,Colorado,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,38.7,Race/Ethnicity,Hispanic
2014,2018,CO,Colorado,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,24.5,Gender,Female
2013,2017,CO,Colorado,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,39.7,Gender,Female
2011,2015,CO,Colorado,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,0.8,Race/Ethnicity,Asian or Pacific Islander
2012,2016,CO,Colorado,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,26.8,Gender,Female
2012,2016,CO,Colorado,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,32.5,Gender,Male
2011,2015,CO,Colorado,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,22.3,Race/Ethnicity,Hispanic
2009,2013,CO,Colorado,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,25.6,Race/Ethnicity,Hispanic
2011,2015,CT,Connecticut,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,21.0,Race/Ethnicity,Hispanic
2010,2014,CT,Connecticut,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,41.0,Race/Ethnicity,"White, non-Hispanic"
2008,2012,CT,Connecticut,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,58.0,Gender,Female
2013,2017,CT,Connecticut,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,18.8,Race/Ethnicity,Hispanic
2010,2014,CT,Connecticut,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,34.2,Gender,Female
2012,2016,CT,Connecticut,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,25.0,Race/Ethnicity,Asian or Pacific Islander
2009,2013,CT,Connecticut,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,35.2,Gender,Female
2014,2018,CT,Connecticut,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,54.5,Gender,Female
2011,2015,CT,Connecticut,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,50.3,Race/Ethnicity,Hispanic
2013,2017,CT,Connecticut,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,23.5,Race/Ethnicity,American Indian or Alaska Native
2010,2014,CT,Connecticut,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,46.0,Gender,Male
2009,2013,CT,Connecticut,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,63.2,Overall,Overall
2014,2018,CT,Connecticut,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,63.1,Gender,Male
2013,2017,CT,Connecticut,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,62.3,Race/Ethnicity,"White, non-Hispanic"
2013,2017,CT,Connecticut,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,39.7,Gender,Male
2008,2012,CT,Connecticut,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,41.5,Overall,Overall
2010,2014,CT,Connecticut,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,,Race/Ethnicity,American Indian or Alaska Native
2014,2018,CT,Connecticut,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,29.6,Gender,Female
2008,2012,CT,Connecticut,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,50.0,Race/Ethnicity,Hispanic
2014,2018,CT,Connecticut,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,32.5,Race/Ethnicity,"Black, non-Hispanic"
2012,2016,CT,Connecticut,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,47.1,Race/Ethnicity,Hispanic
2013,2017,CT,Connecticut,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,33.6,Race/Ethnicity,"Black, non-Hispanic"
2013,2017,CT,Connecticut,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,56.0,Gender,Female
2011,2015,CT,Connecticut,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,56.1,Gender,Female
2012,2016,CT,Connecticut,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,,Race/Ethnicity,American Indian or Alaska Native
2015,2019,CT,Connecticut,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,28.1,Gender,Female
2015,2019,CT,Connecticut,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,36.2,Gender,Male
2015,2019,CT,Connecticut,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,11.9,Race/Ethnicity,Asian or Pacific Islander
2013,2017,CT,Connecticut,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,23.9,Race/Ethnicity,Asian or Pacific Islander
2011,2015,CT,Connecticut,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,27.2,Race/Ethnicity,Asian or Pacific Islander
2010,2014,CT,Connecticut,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,18.2,Race/Ethnicity,Asian or Pacific Islander
2013,2017,CT,Connecticut,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,31.0,Gender,Female
2012,2016,CT,Connecticut,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,35.8,Overall,Overall
2012,2016,CT,Connecticut,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,37.6,Race/Ethnicity,"White, non-Hispanic"
2008,2012,CT,Connecticut,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,43.3,Race/Ethnicity,"White, non-Hispanic"
2008,2012,CT,Connecticut,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,33.4,Race/Ethnicity,Asian or Pacific Islander
2013,2017,CT,Connecticut,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,36.5,Race/Ethnicity,"White, non-Hispanic"
2011,2015,CT,Connecticut,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,16.8,Race/Ethnicity,Asian or Pacific Islander
2014,2018,CT,Connecticut,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,35.0,Race/Ethnicity,"White, non-Hispanic"
2012,2016,CT,Connecticut,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,60.2,Overall,Overall
2015,2019,CT,Connecticut,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,23.8,Race/Ethnicity,Asian or Pacific Islander
2012,2016,CT,Connecticut,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,41.6,Gender,Male
2014,2018,CT,Connecticut,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,38.0,Gender,Male
2014,2018,CT,Connecticut,Statewide central cancer registries,"per 100,000",Average Annual Age-adjusted Rate,55.7,Race/Ethnicity,"Black, non-Hispanic"
2009,2013,CT,Connecticut,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,47.9,Gender,Male
2009,2013,CT,Connecticut,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,20.4,Race/Ethnicity,Asian or Pacific Islander
2014,2018,CT,Connecticut,Death Certificate,"per 100,000",Average Annual Age-adjusted Rate,12.8,Race/Ethnicity,Asian or Pacific Islander
