YearStart,YearEnd,LocationAbbr,LocationDesc,DataValueUnit,DataValueType,DataValue,StratificationCategory1,Stratification1
2013,2013,CO,Colorado,%,Age-adjusted Prevalence,25.7,Race/Ethnicity,"Black, non-Hispanic"
2013,2013,CO,Colorado,%,Crude Prevalence,17.7,Overall,Overall
2021,2021,CO,Colorado,%,Crude Prevalence,11.1,Race/Ethnicity,"White, non-Hispanic"
2020,2020,CA,California,%,Age-adjusted Prevalence,9.9,Race/Ethnicity,"White, non-Hispanic"
2011,2011,CA,California,%,Crude Prevalence,19.8,Race/Ethnicity,"Black, non-Hispanic"
2018,2018,CA,California,%,Crude Prevalence,11.2,Overall,Overall
2012,2012,CA,California,%,Age-adjusted Prevalence,10.1,Gender,Female
2011,2011,CA,California,%,Age-adjusted Prevalence,11.4,Race/Ethnicity,Hispanic
2019,2019,CA,California,%,Age-adjusted Prevalence,10.8,Race/Ethnicity,"White, non-Hispanic"
2018,2018,CA,California,%,Crude Prevalence,11.3,Race/Ethnicity,Hispanic
2012,2012,CA,California,%,Crude Prevalence,12.6,Overall,Overall
2020,2020,CA,California,%,Crude Prevalence,7.7,Race/Ethnicity,Hispanic
2014,2014,CA,California,%,Crude Prevalence,12.8,Overall,Overall
2017,2017,CA,California,%,Age-adjusted Prevalence,10.3,Race/Ethnicity,Hispanic
2017,2017,CA,California,%,Age-adjusted Prevalence,15.1,Gender,Male
2014,2014,CA,California,%,Crude Prevalence,11.4,Race/Ethnicity,Hispanic
2014,2014,CA,California,%,Age-adjusted Prevalence,9.9,Race/Ethnicity,"Other, non-Hispanic"
2021,2021,CO,Colorado,%,Age-adjusted Prevalence,14.4,Race/Ethnicity,"Black, non-Hispanic"
2011,2011,CA,California,%,Age-adjusted Prevalence,16.1,Race/Ethnicity,"White, non-Hispanic"
2019,2019,CA,California,%,Age-adjusted Prevalence,9.5,Race/Ethnicity,Hispanic
2018,2018,CA,California,%,Age-adjusted Prevalence,8.3,Race/Ethnicity,"Other, non-Hispanic"
2015,2015,CO,Colorado,%,Crude Prevalence,17.1,Gender,Male
2018,2018,CO,Colorado,%,Age-adjusted Prevalence,16.7,Gender,Male
2020,2020,CO,Colorado,%,Age-adjusted Prevalence,11.5,Gender,Female
2018,2018,CO,Colorado,%,Crude Prevalence,14.5,Overall,Overall
2018,2018,CO,Colorado,%,Crude Prevalence,16.0,Race/Ethnicity,"Other, non-Hispanic"
2021,2021,CT,Connecticut,%,Crude Prevalence,,Race/Ethnicity,"Other, non-Hispanic"
2020,2020,CO,Colorado,%,Crude Prevalence,12.4,Overall,Overall
2014,2014,CO,Colorado,%,Crude Prevalence,15.7,Overall,Overall
2011,2011,CO,Colorado,%,Crude Prevalence,21.3,Gender,Male
2013,2013,CO,Colorado,%,Crude Prevalence,19.0,Gender,Male
2019,2019,CO,Colorado,%,Age-adjusted Prevalence,22.4,Race/Ethnicity,"Multiracial, non-Hispanic"
2015,2015,CO,Colorado,%,Age-adjusted Prevalence,21.9,Race/Ethnicity,"Black, non-Hispanic"
2012,2012,CO,Colorado,%,Crude Prevalence,19.6,Race/Ethnicity,Hispanic
2020,2020,CO,Colorado,%,Age-adjusted Prevalence,22.8,Race/Ethnicity,"Black, non-Hispanic"
2016,2016,CO,Colorado,%,Crude Prevalence,13.5,Gender,Female
2018,2018,CO,Colorado,%,Crude Prevalence,16.6,Gender,Male
2018,2018,CO,Colorado,%,Age-adjusted Prevalence,20.5,Race/Ethnicity,"Black, non-Hispanic"
2015,2015,CO,Colorado,%,Age-adjusted Prevalence,16.9,Gender,Male
2015,2015,CO,Colorado,%,Crude Prevalence,23.6,Race/Ethnicity,"Black, non-Hispanic"
2011,2011,CO,Colorado,%,Age-adjusted Prevalence,28.2,Race/Ethnicity,"Multiracial, non-Hispanic"
2013,2013,CO,Colorado,%,Age-adjusted Prevalence,27.1,Race/Ethnicity,"Multiracial, non-Hispanic"
2016,2016,CO,Colorado,%,Age-adjusted Prevalence,19.7,Race/Ethnicity,"Black, non-Hispanic"
2017,2017,CO,Colorado,%,Crude Prevalence,20.3,Race/Ethnicity,"Black, non-Hispanic"
2012,2012,CO,Colorado,%,Crude Prevalence,17.7,Overall,Overall
2012,2012,CO,Colorado,%,Crude Prevalence,19.8,Race/Ethnicity,"Other, non-Hispanic"
2017,2017,CO,Colorado,%,Age-adjusted Prevalence,16.5,Gender,Male
2019,2019,CO,Colorado,%,Crude Prevalence,14.6,Race/Ethnicity,Hispanic
2020,2020,CO,Colorado,%,Crude Prevalence,23.0,Race/Ethnicity,"Black, non-Hispanic"
2013,2013,CO,Colorado,%,Crude Prevalence,18.7,Race/Ethnicity,Hispanic
2018,2018,CO,Colorado,%,Age-adjusted Prevalence,15.6,Race/Ethnicity,Hispanic
2013,2013,CO,Colorado,%,Crude Prevalence,16.7,Race/Ethnicity,"White, non-Hispanic"
2011,2011,CO,Colorado,%,Crude Prevalence,17.6,Race/Ethnicity,"White, non-Hispanic"
2015,2015,CO,Colorado,%,Crude Prevalence,15.6,Race/Ethnicity,Hispanic
2014,2014,CO,Colorado,%,Age-adjusted Prevalence,16.8,Gender,Male
2021,2021,CT,Connecticut,%,Crude Prevalence,11.1,Overall,Overall
2020,2020,CO,Colorado,%,Crude Prevalence,11.7,Race/Ethnicity,"Other, non-Hispanic"
2012,2012,CO,Colorado,%,Age-adjusted Prevalence,19.7,Race/Ethnicity,Hispanic
2021,2021,CT,Connecticut,%,Age-adjusted Prevalence,13.1,Gender,Male
2016,2016,CO,Colorado,%,Age-adjusted Prevalence,18.4,Race/Ethnicity,Hispanic
2017,2017,CO,Colorado,%,Crude Prevalence,16.6,Gender,Male
2017,2017,CO,Colorado,%,Crude Prevalence,16.4,Race/Ethnicity,Hispanic
2014,2014,CO,Colorado,%,Age-adjusted Prevalence,17.2,Race/Ethnicity,Hispanic
2011,2011,CO,Colorado,%,Crude Prevalence,20.2,Race/Ethnicity,Hispanic
2020,2020,CO,Colorado,%,Crude Prevalence,11.4,Gender,Female
2012,2012,CO,Colorado,%,Age-adjusted Prevalence,17.6,Overall,Overall
2020,2020,CO,Colorado,%,Age-adjusted Prevalence,12.1,Race/Ethnicity,"White, non-Hispanic"
2021,2021,CT,Connecticut,%,Crude Prevalence,12.0,Race/Ethnicity,Hispanic
2011,2011,CO,Colorado,%,Age-adjusted Prevalence,15.2,Gender,Female
2013,2013,CO,Colorado,%,Age-adjusted Prevalence,18.5,Gender,Male
2020,2020,CO,Colorado,%,Crude Prevalence,11.6,Race/Ethnicity,"White, non-Hispanic"
2015,2015,CO,Colorado,%,Age-adjusted Prevalence,22.3,Race/Ethnicity,"Multiracial, non-Hispanic"
2016,2016,CO,Colorado,%,Age-adjusted Prevalence,15.7,Overall,Overall
2014,2014,CO,Colorado,%,Crude Prevalence,26.5,Race/Ethnicity,"Multiracial, non-Hispanic"
2017,2017,CO,Colorado,%,Crude Prevalence,14.6,Overall,Overall
2011,2011,CO,Colorado,%,Age-adjusted Prevalence,20.8,Gender,Male
2018,2018,CT,Connecticut,%,Age-adjusted Prevalence,11.8,Race/Ethnicity,"White, non-Hispanic"
2017,2017,CT,Connecticut,%,Crude Prevalence,16.3,Race/Ethnicity,Hispanic
2011,2011,CT,Connecticut,%,Crude Prevalence,16.8,Race/Ethnicity,"White, non-Hispanic"
2011,2011,CT,Connecticut,%,Age-adjusted Prevalence,13.9,Race/Ethnicity,"Other, non-Hispanic"
2016,2016,CT,Connecticut,%,Age-adjusted Prevalence,14.9,Gender,Male
2019,2019,CT,Connecticut,%,Crude Prevalence,15.9,Race/Ethnicity,"Multiracial, non-Hispanic"
2021,2021,DC,District of Columbia,%,Crude Prevalence,10.6,Gender,Male
2011,2011,CT,Connecticut,%,Crude Prevalence,17.1,Race/Ethnicity,Hispanic
2013,2013,CT,Connecticut,%,Crude Prevalence,20.5,Race/Ethnicity,Hispanic
2014,2014,CT,Connecticut,%,Crude Prevalence,17.5,Gender,Male
2015,2015,CT,Connecticut,%,Crude Prevalence,15.4,Race/Ethnicity,Hispanic
2014,2014,CT,Connecticut,%,Age-adjusted Prevalence,15.5,Race/Ethnicity,"White, non-Hispanic"
2021,2021,DC,District of Columbia,%,Age-adjusted Prevalence,4.0,Race/Ethnicity,"White, non-Hispanic"
2019,2019,CT,Connecticut,%,Crude Prevalence,12.3,Race/Ethnicity,"White, non-Hispanic"
2018,2018,CT,Connecticut,%,Crude Prevalence,12.2,Overall,Overall
2011,2011,CT,Connecticut,%,Crude Prevalence,30.9,Race/Ethnicity,"Multiracial, non-Hispanic"
2013,2013,CT,Connecticut,%,Crude Prevalence,31.9,Race/Ethnicity,"Multiracial, non-Hispanic"
2017,2017,CT,Connecticut,%,Crude Prevalence,12.0,Race/Ethnicity,"White, non-Hispanic"
2018,2018,CT,Connecticut,%,Age-adjusted Prevalence,12.7,Overall,Overall
2013,2013,CO,Colorado,%,Age-adjusted Prevalence,17.6,Overall,Overall
2020,2020,CO,Colorado,%,Age-adjusted Prevalence,12.6,Overall,Overall
2015,2015,CO,Colorado,%,Crude Prevalence,17.4,Race/Ethnicity,"Other, non-Hispanic"
2011,2011,CO,Colorado,%,Crude Prevalence,18.3,Overall,Overall
2021,2021,CT,Connecticut,%,Crude Prevalence,11.9,Race/Ethnicity,"Black, non-Hispanic"
2015,2015,CO,Colorado,%,Age-adjusted Prevalence,16.4,Race/Ethnicity,"Other, non-Hispanic"
2017,2017,CO,Colorado,%,Age-adjusted Prevalence,10.5,Race/Ethnicity,"Other, non-Hispanic"
2014,2014,CO,Colorado,%,Crude Prevalence,14.6,Gender,Female
2019,2019,CO,Colorado,%,Age-adjusted Prevalence,12.1,Gender,Female
2020,2020,CO,Colorado,%,Age-adjusted Prevalence,13.1,Race/Ethnicity,Hispanic
2012,2012,CO,Colorado,%,Crude Prevalence,16.3,Gender,Female
2018,2018,CO,Colorado,%,Crude Prevalence,16.0,Race/Ethnicity,Hispanic
2013,2013,CO,Colorado,%,Age-adjusted Prevalence,17.1,Race/Ethnicity,"White, non-Hispanic"
2016,2016,CO,Colorado,%,Crude Prevalence,18.7,Race/Ethnicity,Hispanic
2012,2012,CO,Colorado,%,Crude Prevalence,16.8,Race/Ethnicity,"White, non-Hispanic"
2017,2017,CO,Colorado,%,Age-adjusted Prevalence,12.7,Gender,Female
2011,2011,CO,Colorado,%,Age-adjusted Prevalence,19.1,Race/Ethnicity,Hispanic
2011,2011,CO,Colorado,%,Age-adjusted Prevalence,17.9,Race/Ethnicity,"White, non-Hispanic"
2013,2013,CO,Colorado,%,Age-adjusted Prevalence,18.4,Race/Ethnicity,Hispanic
2013,2013,CO,Colorado,%,Crude Prevalence,27.5,Race/Ethnicity,"Multiracial, non-Hispanic"
2021,2021,CT,Connecticut,%,Crude Prevalence,12.4,Gender,Male
2014,2014,CO,Colorado,%,Age-adjusted Prevalence,15.8,Overall,Overall
2015,2015,CO,Colorado,%,Age-adjusted Prevalence,14.3,Gender,Female
2013,2013,CO,Colorado,%,Age-adjusted Prevalence,18.2,Race/Ethnicity,"Other, non-Hispanic"
2021,2021,CT,Connecticut,%,Age-adjusted Prevalence,12.0,Race/Ethnicity,"White, non-Hispanic"
2020,2020,CO,Colorado,%,Age-adjusted Prevalence,13.5,Gender,Male
2021,2021,CT,Connecticut,%,Age-adjusted Prevalence,9.9,Race/Ethnicity,"Multiracial, non-Hispanic"
2015,2015,CO,Colorado,%,Crude Prevalence,20.9,Race/Ethnicity,"Multiracial, non-Hispanic"
2018,2018,CO,Colorado,%,Age-adjusted Prevalence,27.7,Race/Ethnicity,"Multiracial, non-Hispanic"
2015,2015,CO,Colorado,%,Age-adjusted Prevalence,15.7,Race/Ethnicity,"White, non-Hispanic"
2017,2017,CO,Colorado,%,Crude Prevalence,23.3,Race/Ethnicity,"Multiracial, non-Hispanic"
2016,2016,CO,Colorado,%,Crude Prevalence,14.3,Race/Ethnicity,"White, non-Hispanic"
2014,2014,CO,Colorado,%,Age-adjusted Prevalence,14.7,Gender,Female
2011,2011,CO,Colorado,%,Crude Prevalence,15.2,Gender,Female
2020,2020,CO,Colorado,%,Crude Prevalence,12.8,Race/Ethnicity,Hispanic
2013,2013,CO,Colorado,%,Crude Prevalence,16.4,Gender,Female
2017,2017,CO,Colorado,%,Age-adjusted Prevalence,14.6,Race/Ethnicity,"White, non-Hispanic"
2012,2012,CO,Colorado,%,Crude Prevalence,22.0,Race/Ethnicity,"Black, non-Hispanic"
2016,2016,CO,Colorado,%,Age-adjusted Prevalence,21.1,Race/Ethnicity,"Multiracial, non-Hispanic"
2014,2014,CO,Colorado,%,Crude Prevalence,14.8,Race/Ethnicity,"White, non-Hispanic"
2020,2020,CO,Colorado,%,Crude Prevalence,16.9,Race/Ethnicity,"Multiracial, non-Hispanic"
2014,2014,CO,Colorado,%,Age-adjusted Prevalence,27.0,Race/Ethnicity,"Multiracial, non-Hispanic"
2012,2012,CO,Colorado,%,Age-adjusted Prevalence,16.2,Gender,Female
2014,2014,CT,Connecticut,%,Age-adjusted Prevalence,18.1,Gender,Male
2018,2018,CT,Connecticut,%,Age-adjusted Prevalence,7.0,Race/Ethnicity,"Other, non-Hispanic"
2017,2017,CT,Connecticut,%,Age-adjusted Prevalence,13.4,Overall,Overall
2019,2019,CT,Connecticut,%,Crude Prevalence,10.9,Race/Ethnicity,Hispanic
2020,2020,CT,Connecticut,%,Age-adjusted Prevalence,10.9,Gender,Female
2021,2021,DC,District of Columbia,%,Crude Prevalence,4.2,Race/Ethnicity,"White, non-Hispanic"
2013,2013,CT,Connecticut,%,Age-adjusted Prevalence,14.8,Gender,Female
2012,2012,CT,Connecticut,%,Age-adjusted Prevalence,19.2,Gender,Male
2017,2017,CT,Connecticut,%,Age-adjusted Prevalence,8.5,Race/Ethnicity,"Other, non-Hispanic"
2020,2020,CT,Connecticut,%,Age-adjusted Prevalence,12.6,Overall,Overall
2017,2017,CT,Connecticut,%,Age-adjusted Prevalence,11.9,Gender,Female
2013,2013,CT,Connecticut,%,Crude Prevalence,15.5,Overall,Overall
2015,2015,CT,Connecticut,%,Age-adjusted Prevalence,11.2,Gender,Female
2021,2021,DC,District of Columbia,%,Age-adjusted Prevalence,10.2,Gender,Male
2013,2013,CT,Connecticut,%,Age-adjusted Prevalence,17.3,Gender,Male
2014,2014,CT,Connecticut,%,Age-adjusted Prevalence,29.7,Race/Ethnicity,"Multiracial, non-Hispanic"
2018,2018,CT,Connecticut,%,Crude Prevalence,10.8,Gender,Female
2016,2016,CT,Connecticut,%,Crude Prevalence,12.0,Gender,Female
2020,2020,CT,Connecticut,%,Crude Prevalence,15.2,Race/Ethnicity,"Black, non-Hispanic"
2020,2020,CT,Connecticut,%,Crude Prevalence,11.3,Race/Ethnicity,"White, non-Hispanic"
2014,2014,CT,Connecticut,%,Crude Prevalence,15.4,Overall,Overall
2012,2012,CT,Connecticut,%,Crude Prevalence,16.0,Overall,Overall
2019,2019,CT,Connecticut,%,Crude Prevalence,9.7,Race/Ethnicity,"Other, non-Hispanic"
2013,2013,CT,Connecticut,%,Age-adjusted Prevalence,16.1,Overall,Overall
2013,2013,CT,Connecticut,%,Age-adjusted Prevalence,8.9,Race/Ethnicity,"Other, non-Hispanic"
2019,2019,CO,Colorado,%,Age-adjusted Prevalence,12.1,Race/Ethnicity,"Other, non-Hispanic"
2012,2012,CO,Colorado,%,Age-adjusted Prevalence,27.3,Race/Ethnicity,"Multiracial, non-Hispanic"
2021,2021,CT,Connecticut,%,Age-adjusted Prevalence,11.5,Overall,Overall
2018,2018,CO,Colorado,%,Crude Prevalence,20.6,Race/Ethnicity,"Black, non-Hispanic"
2020,2020,CO,Colorado,%,Crude Prevalence,13.4,Gender,Male
2016,2016,CO,Colorado,%,Crude Prevalence,20.7,Race/Ethnicity,"Black, non-Hispanic"
2011,2011,CO,Colorado,%,Crude Prevalence,29.1,Race/Ethnicity,"Multiracial, non-Hispanic"
2021,2021,CT,Connecticut,%,Crude Prevalence,10.2,Race/Ethnicity,"Multiracial, non-Hispanic"
2018,2018,CO,Colorado,%,Crude Prevalence,29.7,Race/Ethnicity,"Multiracial, non-Hispanic"
2016,2016,CO,Colorado,%,Crude Prevalence,21.0,Race/Ethnicity,"Multiracial, non-Hispanic"
2016,2016,CO,Colorado,%,Age-adjusted Prevalence,14.9,Race/Ethnicity,"White, non-Hispanic"
2021,2021,CT,Connecticut,%,Age-adjusted Prevalence,11.9,Race/Ethnicity,"Black, non-Hispanic"
2019,2019,CO,Colorado,%,Age-adjusted Prevalence,15.3,Gender,Male
2014,2014,CO,Colorado,%,Age-adjusted Prevalence,15.4,Race/Ethnicity,"White, non-Hispanic"
2018,2018,CO,Colorado,%,Age-adjusted Prevalence,14.0,Race/Ethnicity,"White, non-Hispanic"
2020,2020,CO,Colorado,%,Age-adjusted Prevalence,11.9,Race/Ethnicity,"Other, non-Hispanic"
2014,2014,CO,Colorado,%,Crude Prevalence,16.9,Gender,Male
2018,2018,CO,Colorado,%,Crude Prevalence,13.4,Race/Ethnicity,"White, non-Hispanic"
2016,2016,CO,Colorado,%,Crude Prevalence,17.7,Gender,Male
2019,2019,CO,Colorado,%,Age-adjusted Prevalence,13.3,Race/Ethnicity,"White, non-Hispanic"
2011,2011,CO,Colorado,%,Age-adjusted Prevalence,13.3,Race/Ethnicity,"Other, non-Hispanic"
2018,2018,CO,Colorado,%,Age-adjusted Prevalence,14.7,Overall,Overall
2015,2015,CO,Colorado,%,Crude Prevalence,15.6,Overall,Overall
2021,2021,CT,Connecticut,%,Age-adjusted Prevalence,12.3,Race/Ethnicity,Hispanic
2021,2021,CT,Connecticut,%,Age-adjusted Prevalence,10.0,Gender,Female
2016,2016,CO,Colorado,%,Age-adjusted Prevalence,13.7,Gender,Female
2012,2012,CO,Colorado,%,Age-adjusted Prevalence,17.1,Race/Ethnicity,"White, non-Hispanic"
2017,2017,CO,Colorado,%,Crude Prevalence,12.6,Gender,Female
2012,2012,CO,Colorado,%,Crude Prevalence,25.7,Race/Ethnicity,"Multiracial, non-Hispanic"
2019,2019,CO,Colorado,%,Crude Prevalence,11.9,Gender,Female
2018,2018,CO,Colorado,%,Age-adjusted Prevalence,12.6,Gender,Female
2019,2019,CO,Colorado,%,Crude Prevalence,23.9,Race/Ethnicity,"Multiracial, non-Hispanic"
2015,2015,CO,Colorado,%,Crude Prevalence,14.2,Gender,Female
2011,2011,CT,Connecticut,%,Crude Prevalence,17.1,Overall,Overall
2015,2015,CT,Connecticut,%,Age-adjusted Prevalence,10.8,Race/Ethnicity,"Other, non-Hispanic"
2015,2015,CT,Connecticut,%,Crude Prevalence,12.9,Race/Ethnicity,"White, non-Hispanic"
2011,2011,CT,Connecticut,%,Age-adjusted Prevalence,15.9,Gender,Female
2018,2018,CT,Connecticut,%,Age-adjusted Prevalence,14.0,Gender,Male
2020,2020,CT,Connecticut,%,Crude Prevalence,11.8,Overall,Overall
2019,2019,CT,Connecticut,%,Age-adjusted Prevalence,12.6,Overall,Overall
2012,2012,CT,Connecticut,%,Age-adjusted Prevalence,17.3,Race/Ethnicity,"White, non-Hispanic"
2016,2016,CT,Connecticut,%,Age-adjusted Prevalence,13.6,Race/Ethnicity,"White, non-Hispanic"
2021,2021,DC,District of Columbia,%,Crude Prevalence,10.8,Race/Ethnicity,"Other, non-Hispanic"
2015,2015,CT,Connecticut,%,Crude Prevalence,13.5,Overall,Overall
2013,2013,CT,Connecticut,%,Crude Prevalence,14.3,Race/Ethnicity,"White, non-Hispanic"
2017,2017,CT,Connecticut,%,Age-adjusted Prevalence,14.9,Gender,Male
2016,2016,CT,Connecticut,%,Age-adjusted Prevalence,32.5,Race/Ethnicity,"Multiracial, non-Hispanic"
2015,2015,CT,Connecticut,%,Age-adjusted Prevalence,16.7,Gender,Male
2020,2020,CT,Connecticut,%,Crude Prevalence,13.3,Gender,Male
2018,2018,CT,Connecticut,%,Crude Prevalence,13.6,Gender,Male
2019,2019,CT,Connecticut,%,Age-adjusted Prevalence,11.0,Race/Ethnicity,"Other, non-Hispanic"
2017,2017,CT,Connecticut,%,Crude Prevalence,8.9,Race/Ethnicity,"Other, non-Hispanic"
2011,2011,CT,Connecticut,%,Age-adjusted Prevalence,19.2,Gender,Male
2011,2011,CT,Connecticut,%,Crude Prevalence,20.8,Race/Ethnicity,"Black, non-Hispanic"
2012,2012,CT,Connecticut,%,Crude Prevalence,13.7,Gender,Female
2012,2012,CT,Connecticut,%,Age-adjusted Prevalence,14.3,Gender,Female
2015,2015,CT,Connecticut,%,Age-adjusted Prevalence,13.9,Overall,Overall
2018,2018,CT,Connecticut,%,Age-adjusted Prevalence,11.5,Gender,Female
2016,2016,CT,Connecticut,%,Age-adjusted Prevalence,12.4,Gender,Female
2011,2011,CT,Connecticut,%,Age-adjusted Prevalence,17.6,Overall,Overall
2017,2017,CT,Connecticut,%,Crude Prevalence,15.0,Race/Ethnicity,"Black, non-Hispanic"
2016,2016,CT,Connecticut,%,Crude Prevalence,14.8,Gender,Male
2015,2015,CT,Connecticut,%,Crude Prevalence,16.9,Race/Ethnicity,"Black, non-Hispanic"
2015,2015,CT,Connecticut,%,Crude Prevalence,16.3,Gender,Male
2021,2021,DC,District of Columbia,%,Crude Prevalence,,Race/Ethnicity,"Multiracial, non-Hispanic"
2014,2014,CT,Connecticut,%,Crude Prevalence,18.5,Race/Ethnicity,"Black, non-Hispanic"
2020,2020,CT,Connecticut,%,Age-adjusted Prevalence,14.6,Race/Ethnicity,"Multiracial, non-Hispanic"
2016,2016,CT,Connecticut,%,Crude Prevalence,16.8,Race/Ethnicity,"Black, non-Hispanic"
2020,2020,CT,Connecticut,%,Crude Prevalence,14.4,Race/Ethnicity,Hispanic
2014,2014,CT,Connecticut,%,Age-adjusted Prevalence,16.1,Overall,Overall
2019,2019,CT,Connecticut,%,Age-adjusted Prevalence,13.9,Race/Ethnicity,"Black, non-Hispanic"
2017,2017,CT,Connecticut,%,Crude Prevalence,14.1,Gender,Male
2011,2011,CT,Connecticut,%,Crude Prevalence,14.0,Race/Ethnicity,"Other, non-Hispanic"
2013,2013,CT,Connecticut,%,Age-adjusted Prevalence,19.1,Race/Ethnicity,Hispanic
2016,2016,CT,Connecticut,%,Crude Prevalence,12.6,Race/Ethnicity,"White, non-Hispanic"
2014,2014,CT,Connecticut,%,Age-adjusted Prevalence,18.5,Race/Ethnicity,"Black, non-Hispanic"
2020,2020,CT,Connecticut,%,Age-adjusted Prevalence,14.8,Race/Ethnicity,"Black, non-Hispanic"
2020,2020,CT,Connecticut,%,Crude Prevalence,15.6,Race/Ethnicity,"Multiracial, non-Hispanic"
2011,2011,CT,Connecticut,%,Age-adjusted Prevalence,29.3,Race/Ethnicity,"Multiracial, non-Hispanic"
2012,2012,DC,District of Columbia,%,Crude Prevalence,,Race/Ethnicity,"Other, non-Hispanic"
2021,2021,DE,Delaware,%,Crude Prevalence,15.9,Gender,Male
2019,2019,DC,District of Columbia,%,Crude Prevalence,6.9,Race/Ethnicity,"White, non-Hispanic"
2015,2015,DC,District of Columbia,%,Age-adjusted Prevalence,24.7,Race/Ethnicity,"Black, non-Hispanic"
2012,2012,DC,District of Columbia,%,Age-adjusted Prevalence,22.2,Gender,Male
2013,2013,DC,District of Columbia,%,Crude Prevalence,,Race/Ethnicity,"Other, non-Hispanic"
2021,2021,DE,Delaware,%,Age-adjusted Prevalence,13.7,Race/Ethnicity,"Black, non-Hispanic"
2021,2021,DE,Delaware,%,Age-adjusted Prevalence,16.1,Race/Ethnicity,"White, non-Hispanic"
2020,2020,DC,District of Columbia,%,Crude Prevalence,18.2,Race/Ethnicity,"Black, non-Hispanic"
2014,2014,DC,District of Columbia,%,Age-adjusted Prevalence,13.7,Race/Ethnicity,"Other, non-Hispanic"
2017,2017,DC,District of Columbia,%,Crude Prevalence,14.0,Race/Ethnicity,"Other, non-Hispanic"
2018,2018,DC,District of Columbia,%,Age-adjusted Prevalence,15.2,Gender,Male
2013,2013,DC,District of Columbia,%,Crude Prevalence,9.9,Race/Ethnicity,"White, non-Hispanic"
2021,2021,DE,Delaware,%,Crude Prevalence,13.4,Overall,Overall
2011,2011,DC,District of Columbia,%,Age-adjusted Prevalence,15.5,Race/Ethnicity,Hispanic
2020,2020,DC,District of Columbia,%,Crude Prevalence,11.2,Gender,Female
2015,2015,DC,District of Columbia,%,Age-adjusted Prevalence,,Race/Ethnicity,Hispanic
2011,2011,DC,District of Columbia,%,Crude Prevalence,9.6,Race/Ethnicity,"White, non-Hispanic"
2014,2014,CT,Connecticut,%,Crude Prevalence,13.5,Gender,Female
2013,2013,CT,Connecticut,%,Crude Prevalence,19.9,Race/Ethnicity,"Black, non-Hispanic"
2019,2019,CT,Connecticut,%,Age-adjusted Prevalence,14.1,Gender,Male
2021,2021,DC,District of Columbia,%,Crude Prevalence,,Race/Ethnicity,Hispanic
2016,2016,CT,Connecticut,%,Crude Prevalence,13.3,Overall,Overall
2019,2019,CT,Connecticut,%,Crude Prevalence,14.2,Race/Ethnicity,"Black, non-Hispanic"
2021,2021,DC,District of Columbia,%,Age-adjusted Prevalence,,Race/Ethnicity,Hispanic
2012,2012,CT,Connecticut,%,Crude Prevalence,18.5,Gender,Male
2015,2015,CT,Connecticut,%,Age-adjusted Prevalence,18.9,Race/Ethnicity,"Multiracial, non-Hispanic"
2011,2011,CT,Connecticut,%,Age-adjusted Prevalence,19.6,Race/Ethnicity,"Black, non-Hispanic"
2018,2018,CT,Connecticut,%,Age-adjusted Prevalence,16.0,Race/Ethnicity,Hispanic
2020,2020,CT,Connecticut,%,Age-adjusted Prevalence,12.7,Race/Ethnicity,"White, non-Hispanic"
2019,2019,CT,Connecticut,%,Crude Prevalence,10.6,Gender,Female
2021,2021,DC,District of Columbia,%,Crude Prevalence,8.6,Gender,Female
2017,2017,CT,Connecticut,%,Crude Prevalence,11.5,Gender,Female
2012,2012,CT,Connecticut,%,Age-adjusted Prevalence,17.1,Race/Ethnicity,Hispanic
2013,2013,CT,Connecticut,%,Crude Prevalence,14.3,Gender,Female
2014,2014,CT,Connecticut,%,Crude Prevalence,,Race/Ethnicity,"Multiracial, non-Hispanic"
2016,2016,CT,Connecticut,%,Crude Prevalence,33.3,Race/Ethnicity,"Multiracial, non-Hispanic"
2013,2013,CT,Connecticut,%,Crude Prevalence,16.8,Gender,Male
2012,2012,CT,Connecticut,%,Age-adjusted Prevalence,28.6,Race/Ethnicity,"Multiracial, non-Hispanic"
2015,2015,CT,Connecticut,%,Crude Prevalence,10.8,Race/Ethnicity,"Other, non-Hispanic"
2013,2013,CT,Connecticut,%,Crude Prevalence,8.9,Race/Ethnicity,"Other, non-Hispanic"
2015,2015,CT,Connecticut,%,Age-adjusted Prevalence,16.7,Race/Ethnicity,"Black, non-Hispanic"
2018,2018,CT,Connecticut,%,Crude Prevalence,7.2,Race/Ethnicity,"Other, non-Hispanic"
2021,2021,DC,District of Columbia,%,Age-adjusted Prevalence,14.5,Race/Ethnicity,"Black, non-Hispanic"
2011,2011,CT,Connecticut,%,Crude Prevalence,19.0,Gender,Male
2019,2019,CT,Connecticut,%,Age-adjusted Prevalence,13.7,Race/Ethnicity,"White, non-Hispanic"
2012,2012,CT,Connecticut,%,Age-adjusted Prevalence,16.7,Overall,Overall
2016,2016,CT,Connecticut,%,Crude Prevalence,15.2,Race/Ethnicity,Hispanic
2012,2012,CT,Connecticut,%,Age-adjusted Prevalence,11.5,Race/Ethnicity,"Other, non-Hispanic"
2017,2017,CT,Connecticut,%,Age-adjusted Prevalence,15.7,Race/Ethnicity,Hispanic
2014,2014,CT,Connecticut,%,Crude Prevalence,20.6,Race/Ethnicity,Hispanic
2012,2012,CT,Connecticut,%,Crude Prevalence,15.4,Race/Ethnicity,"White, non-Hispanic"
